,bug,dark,dragon,electric,fairy,fight,fire,flying,ghost,grass,ground,ice,normal,poison,psychic,rock,steel,water,classfication,height_m,name,attack,pokedex_number,type1,type2,weight_kg,generation,is_legendary,image
10,1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,Cocoon Pokémon,0.7,Metapod,20,11,bug,bug,9.9,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/011.png
11,0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,Butterfly Pokémon,1.1,Butterfree,45,12,bug,flying,32.0,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/012.png
12,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,Hairy Pokémon,0.3,Weedle,35,13,bug,poison,3.2,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/013.png
13,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,Cocoon Pokémon,0.6,Kakuna,25,14,bug,poison,10.0,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/014.png
14,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,Poison Bee Pokémon,1.0,Beedrill,150,15,bug,poison,29.5,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/015.png
15,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,Tiny Bird Pokémon,0.3,Pidgey,45,16,normal,flying,1.8,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/016.png
16,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,Bird Pokémon,1.1,Pidgeotto,60,17,normal,flying,30.0,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/017.png
17,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,Bird Pokémon,1.5,Pidgeot,80,18,normal,flying,39.5,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/018.png
18,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Mouse Pokémon,,Rattata,56,19,normal,dark,,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/019.png
19,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Mouse Pokémon,,Raticate,71,20,normal,dark,,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/020.png
20,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,Tiny Bird Pokémon,0.3,Spearow,60,21,normal,flying,2.0,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/021.png
21,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,Beak Pokémon,1.2,Fearow,90,22,normal,flying,38.0,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/022.png
22,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,Snake Pokémon,2.0,Ekans,60,23,poison,poison,6.9,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/023.png
23,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,Cobra Pokémon,3.5,Arbok,95,24,poison,poison,65.0,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/024.png
24,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,Mouse Pokémon,0.4,Pikachu,55,25,electric,electric,6.0,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/025.png
25,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,Mouse Pokémon,,Raichu,85,26,electric,electric,,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/026.png
26,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,Mouse Pokémon,,Sandshrew,75,27,ground,ice,,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/027.png
27,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,Mouse Pokémon,,Sandslash,100,28,ground,ice,,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/028.png
28,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,Poison Pin Pokémon,0.4,Nidoran♀,47,29,poison,poison,7.0,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/029.png
29,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,Poison Pin Pokémon,0.8,Nidorina,62,30,poison,poison,20.0,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/030.png
30,0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,Drill Pokémon,1.3,Nidoqueen,92,31,poison,ground,60.0,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/031.png
31,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,Poison Pin Pokémon,0.5,Nidoran♂,57,32,poison,poison,9.0,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/032.png
32,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,Poison Pin Pokémon,0.9,Nidorino,72,33,poison,poison,19.5,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/033.png
33,0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,Drill Pokémon,1.4,Nidoking,102,34,poison,ground,62.0,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/034.png
34,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,Fairy Pokémon,0.6,Clefairy,45,35,fairy,fairy,7.5,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/035.png
35,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,Fairy Pokémon,1.3,Clefable,70,36,fairy,fairy,40.0,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/036.png
36,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,Fox Pokémon,,Vulpix,41,37,fire,ice,,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/037.png
37,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,Fox Pokémon,,Ninetales,67,38,fire,ice,,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/038.png
38,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,Balloon Pokémon,0.5,Jigglypuff,45,39,normal,fairy,5.5,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/039.png
39,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,Balloon Pokémon,1.0,Wigglytuff,70,40,normal,fairy,12.0,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/040.png
40,0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,Bat Pokémon,0.8,Zubat,45,41,poison,flying,7.5,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/041.png
41,0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,Bat Pokémon,1.6,Golbat,80,42,poison,flying,55.0,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/042.png
42,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,Weed Pokémon,0.5,Oddish,50,43,grass,poison,5.4,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/043.png
43,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,Weed Pokémon,0.8,Gloom,65,44,grass,poison,8.6,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/044.png
44,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,Flower Pokémon,1.2,Vileplume,80,45,grass,poison,18.6,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/045.png
45,2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,Mushroom Pokémon,0.3,Paras,70,46,bug,grass,5.4,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/046.png
46,2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,Mushroom Pokémon,1.0,Parasect,95,47,bug,grass,29.5,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/047.png
47,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,Insect Pokémon,1.0,Venonat,55,48,bug,poison,30.0,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/048.png
48,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,Poison Moth Pokémon,1.5,Venomoth,65,49,bug,poison,12.5,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/049.png
49,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,Mole Pokémon,,Diglett,55,50,ground,ground,,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/050.png
50,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,Mole Pokémon,,Dugtrio,100,51,ground,ground,,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/051.png
51,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Scratch Cat Pokémon,,Meowth,35,52,normal,dark,,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/052.png
52,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Classy Cat Pokémon,,Persian,60,53,normal,dark,,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/053.png
53,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,Duck Pokémon,0.8,Psyduck,52,54,water,water,19.6,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/054.png
54,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,Duck Pokémon,1.7,Golduck,82,55,water,water,76.6,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/055.png
55,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,Pig Monkey Pokémon,0.5,Mankey,80,56,fighting,fighting,28.0,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/056.png
56,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,Pig Monkey Pokémon,1.0,Primeape,105,57,fighting,fighting,32.0,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/057.png
57,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,Puppy Pokémon,0.7,Growlithe,70,58,fire,fire,19.0,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/058.png
58,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,Legendary Pokémon,1.9,Arcanine,110,59,fire,fire,155.0,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/059.png
59,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,Tadpole Pokémon,0.6,Poliwag,50,60,water,water,12.4,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/060.png
60,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,Tadpole Pokémon,1.0,Poliwhirl,65,61,water,water,20.0,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/061.png
61,0.5,0.5,1.0,2.0,2.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0,1.0,2.0,0.5,0.5,0.5,Tadpole Pokémon,1.3,Poliwrath,95,62,water,fighting,54.0,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/062.png
62,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,Psi Pokémon,0.9,Abra,20,63,psychic,psychic,19.5,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/063.png
63,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,Psi Pokémon,1.3,Kadabra,35,64,psychic,psychic,56.5,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/064.png
64,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,Psi Pokémon,1.5,Alakazam,50,65,psychic,psychic,48.0,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/065.png
65,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,Superpower Pokémon,0.8,Machop,80,66,fighting,fighting,19.5,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/066.png
66,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,Superpower Pokémon,1.5,Machoke,100,67,fighting,fighting,70.5,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/067.png
67,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,Superpower Pokémon,1.6,Machamp,130,68,fighting,fighting,130.0,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/068.png
68,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,Flower Pokémon,0.7,Bellsprout,75,69,grass,poison,4.0,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/069.png
69,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,Flycatcher Pokémon,1.0,Weepinbell,90,70,grass,poison,6.4,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/070.png
70,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,Flycatcher Pokémon,1.7,Victreebel,105,71,grass,poison,15.5,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/071.png
71,0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,Jellyfish Pokémon,0.9,Tentacool,40,72,water,poison,45.5,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/072.png
72,0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,Jellyfish Pokémon,1.6,Tentacruel,70,73,water,poison,55.0,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/073.png
73,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,Rock Pokémon,,Geodude,80,74,rock,ground,,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/074.png
74,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,Rock Pokémon,,Graveler,95,75,rock,ground,,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/075.png
75,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,Megaton Pokémon,,Golem,120,76,rock,ground,,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/076.png
76,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,Fire Horse Pokémon,1.0,Ponyta,85,77,fire,fire,30.0,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/077.png
77,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,Fire Horse Pokémon,1.7,Rapidash,100,78,fire,fire,95.0,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/078.png
78,2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,Dopey Pokémon,1.2,Slowpoke,65,79,water,psychic,36.0,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/079.png
79,2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,Hermit Crab Pokémon,1.6,Slowbro,75,80,water,psychic,78.5,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/080.png
80,0.5,1.0,0.5,0.5,0.5,2.0,2.0,0.25,1.0,0.5,4.0,0.5,0.5,0.0,0.5,0.5,0.25,1.0,Magnet Pokémon,0.3,Magnemite,35,81,electric,steel,6.0,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/081.png
81,0.5,1.0,0.5,0.5,0.5,2.0,2.0,0.25,1.0,0.5,4.0,0.5,0.5,0.0,0.5,0.5,0.25,1.0,Magnet Pokémon,1.0,Magneton,60,82,electric,steel,60.0,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/082.png
82,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,Wild Duck Pokémon,0.8,Farfetch'd,90,83,normal,flying,15.0,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/083.png
83,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,Twin Bird Pokémon,1.4,Doduo,85,84,normal,flying,39.2,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/084.png
84,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,Triple Bird Pokémon,1.8,Dodrio,110,85,normal,flying,85.2,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/085.png
85,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,Sea Lion Pokémon,1.1,Seel,45,86,water,water,90.0,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/086.png
86,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5,Sea Lion Pokémon,1.7,Dewgong,70,87,water,ice,120.0,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/087.png
87,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,Sludge Pokémon,,Grimer,80,88,poison,poison,,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/088.png
88,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,Sludge Pokémon,,Muk,105,89,poison,poison,,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/089.png
89,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,Bivalve Pokémon,0.3,Shellder,65,90,water,water,4.0,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/090.png
90,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5,Bivalve Pokémon,1.5,Cloyster,95,91,water,ice,132.5,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/091.png
91,0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0,Gas Pokémon,1.3,Gastly,35,92,ghost,poison,0.1,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/092.png
92,0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0,Gas Pokémon,1.6,Haunter,50,93,ghost,poison,0.1,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/093.png
93,0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0,Shadow Pokémon,1.5,Gengar,65,94,ghost,poison,40.5,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/094.png
94,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,Rock Snake Pokémon,8.8,Onix,45,95,rock,ground,210.0,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/095.png
95,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,Hypnosis Pokémon,1.0,Drowzee,48,96,psychic,psychic,32.4,1,0,https://assets.pokemon.com/assets/cms2/img/pokedex/full/096.png
